Timestamp,Model,Process,Metric,Score
2025-09-16 09:21:07,Model 4,encrypted-fhe,MSE,0.0108
2025-09-16 09:21:07,Model 4,encrypted-fhe,MAE,0.0771
2025-09-16 09:21:07,Model 4,encrypted-fhe,MAPE,0.2083
2025-09-16 09:21:07,Model 4,encrypted-fhe,R2,-0.4265
2025-09-16 09:21:07,Model 4,encrypted-fhe,EVS,0.2663
2025-09-16 09:21:07,Model 4,Validation,Time,14.9787
2025-09-16 09:21:07,Model 4,Test,Time,0.0015
2025-09-16 09:21:07,Model 4,encrypted-fhe,Time,54.1799
2025-09-16 09:21:07,Model 4,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:21:07,Model 4,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:21:07,Model 4,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:21:07,Model 4,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:21:07,Model 4,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:30:23,Model 5,Validation,MSE,0.0114
2025-09-16 09:30:23,Model 5,Validation,MAE,0.0765
2025-09-16 09:30:23,Model 5,Validation,MAPE,0.1556
2025-09-16 09:30:23,Model 5,Validation,R2,0.0654
2025-09-16 09:30:23,Model 5,Validation,EVS,0.1011
2025-09-16 09:30:23,Model 5,Test,MSE,0.0091
2025-09-16 09:30:23,Model 5,Test,MAE,0.0759
2025-09-16 09:30:23,Model 5,Test,MAPE,0.1676
2025-09-16 09:30:23,Model 5,Test,R2,0.3249
2025-09-16 09:30:23,Model 5,Test,EVS,0.3754
2025-09-16 09:30:23,Model 5,encrypted-fhe,MSE,0.0129
2025-09-16 09:30:23,Model 5,encrypted-fhe,MAE,0.0865
2025-09-16 09:30:23,Model 5,encrypted-fhe,MAPE,0.2278
2025-09-16 09:30:23,Model 5,encrypted-fhe,R2,-0.7539
2025-09-16 09:30:23,Model 5,encrypted-fhe,EVS,-0.2999
2025-09-16 09:30:23,Model 5,Validation,Time,13.7936
2025-09-16 09:30:23,Model 5,Test,Time,0.0007
2025-09-16 09:30:23,Model 5,encrypted-fhe,Time,54.4205
2025-09-16 09:30:23,Model 5,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:30:23,Model 5,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:30:23,Model 5,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:30:23,Model 5,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:30:23,Model 5,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:33:53,Model 6,Validation,MSE,0.0125
2025-09-16 09:33:53,Model 6,Validation,MAE,0.0842
2025-09-16 09:33:53,Model 6,Validation,MAPE,0.1860
2025-09-16 09:33:53,Model 6,Validation,R2,-0.0634
2025-09-16 09:33:53,Model 6,Validation,EVS,0.1435
2025-09-16 09:33:53,Model 6,Test,MSE,0.0116
2025-09-16 09:33:53,Model 6,Test,MAE,0.0828
2025-09-16 09:33:53,Model 6,Test,MAPE,0.1995
2025-09-16 09:33:53,Model 6,Test,R2,0.1088
2025-09-16 09:33:53,Model 6,Test,EVS,0.1951
2025-09-16 09:33:53,Model 6,encrypted-fhe,MSE,0.0208
2025-09-16 09:33:53,Model 6,encrypted-fhe,MAE,0.1240
2025-09-16 09:33:53,Model 6,encrypted-fhe,MAPE,0.3182
2025-09-16 09:33:53,Model 6,encrypted-fhe,R2,-1.9790
2025-09-16 09:33:53,Model 6,encrypted-fhe,EVS,0.3132
2025-09-16 09:33:53,Model 6,Validation,Time,18.0819
2025-09-16 09:33:53,Model 6,Test,Time,0.0007
2025-09-16 09:33:53,Model 6,encrypted-fhe,Time,54.4792
2025-09-16 09:33:53,Model 6,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:33:53,Model 6,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:33:53,Model 6,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:33:53,Model 6,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:33:53,Model 6,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:38:42,Model 7,Validation,MSE,0.0252
2025-09-16 09:38:42,Model 7,Validation,MAE,0.1254
2025-09-16 09:38:42,Model 7,Validation,MAPE,0.2584
2025-09-16 09:38:42,Model 7,Validation,R2,-1.2347
2025-09-16 09:38:42,Model 7,Validation,EVS,-1.2118
2025-09-16 09:38:42,Model 7,Test,MSE,0.0358
2025-09-16 09:38:42,Model 7,Test,MAE,0.1482
2025-09-16 09:38:42,Model 7,Test,MAPE,0.2863
2025-09-16 09:38:42,Model 7,Test,R2,-1.9005
2025-09-16 09:38:42,Model 7,Test,EVS,-1.4498
2025-09-16 09:38:42,Model 7,encrypted-fhe,MSE,0.0229
2025-09-16 09:38:42,Model 7,encrypted-fhe,MAE,0.1293
2025-09-16 09:38:42,Model 7,encrypted-fhe,MAPE,0.3173
2025-09-16 09:38:42,Model 7,encrypted-fhe,R2,-1.9033
2025-09-16 09:38:42,Model 7,encrypted-fhe,EVS,-1.8783
2025-09-16 09:38:42,Model 7,Validation,Time,20.9065
2025-09-16 09:38:42,Model 7,Test,Time,0.0012
2025-09-16 09:38:42,Model 7,encrypted-fhe,Time,54.1954
2025-09-16 09:38:42,Model 7,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:38:42,Model 7,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:38:42,Model 7,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:38:42,Model 7,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:38:42,Model 7,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 09:43:44,Model 8,Validation,MSE,0.0119
2025-09-16 09:43:44,Model 8,Validation,MAE,0.0823
2025-09-16 09:43:44,Model 8,Validation,MAPE,0.1638
2025-09-16 09:43:44,Model 8,Validation,R2,-0.0234
2025-09-16 09:43:44,Model 8,Validation,EVS,0.0420
2025-09-16 09:43:44,Model 8,Test,MSE,0.0146
2025-09-16 09:43:44,Model 8,Test,MAE,0.0881
2025-09-16 09:43:44,Model 8,Test,MAPE,0.2201
2025-09-16 09:43:44,Model 8,Test,R2,-0.0832
2025-09-16 09:43:44,Model 8,Test,EVS,0.0767
2025-09-16 09:43:44,Model 8,encrypted-fhe,MSE,0.0089
2025-09-16 09:43:44,Model 8,encrypted-fhe,MAE,0.0723
2025-09-16 09:43:44,Model 8,encrypted-fhe,MAPE,0.1797
2025-09-16 09:43:44,Model 8,encrypted-fhe,R2,-0.2842
2025-09-16 09:43:44,Model 8,encrypted-fhe,EVS,-0.0355
2025-09-16 09:43:44,Model 8,Validation,Time,15.1455
2025-09-16 09:43:44,Model 8,Test,Time,0.0015
2025-09-16 09:43:44,Model 8,encrypted-fhe,Time,54.2361
2025-09-16 09:43:44,Model 8,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:43:44,Model 8,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:43:44,Model 8,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:43:44,Model 8,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:43:44,Model 8,encrypted-fhe,AppEncryptionKeySize,212992.0000
