Timestamp,Model,Process,Metric,Score
2025-09-19 14:27:30,Model 4,Test,R2,-793.4693
2025-09-19 14:27:30,Model 4,Test,EVS,-25.9035
2025-09-19 14:27:30,Model 4,encrypted-fhe,MSE,275.3161
2025-09-19 14:27:30,Model 4,encrypted-fhe,MAE,16.5915
2025-09-19 14:27:30,Model 4,encrypted-fhe,MAPE,63974382374551920.0000
2025-09-19 14:27:30,Model 4,encrypted-fhe,R2,-3126.9418
2025-09-19 14:27:30,Model 4,encrypted-fhe,EVS,0.0853
2025-09-19 14:27:30,Model 4,Validation,Time,6.9325
2025-09-19 14:27:30,Model 4,Test,Time,0.0023
2025-09-19 14:27:30,Model 4,encrypted-fhe,Time,3.9912
2025-09-19 14:27:30,Model 4,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:27:30,Model 4,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:27:30,Model 4,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:27:30,Model 4,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:27:30,Model 4,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:29:40,Model 5,Validation,MSE,0.0368
2025-09-19 14:29:40,Model 5,Validation,MAE,0.1256
2025-09-19 14:29:40,Model 5,Validation,MAPE,298250548543488.0000
2025-09-19 14:29:40,Model 5,Validation,R2,-0.5391
2025-09-19 14:29:40,Model 5,Validation,EVS,0.0365
2025-09-19 14:29:40,Model 5,Test,MSE,0.0402
2025-09-19 14:29:40,Model 5,Test,MAE,0.1372
2025-09-19 14:29:40,Model 5,Test,MAPE,1.5036
2025-09-19 14:29:40,Model 5,Test,R2,-612.2682
2025-09-19 14:29:40,Model 5,Test,EVS,-20.4803
2025-09-19 14:29:40,Model 5,encrypted-fhe,MSE,262.4573
2025-09-19 14:29:40,Model 5,encrypted-fhe,MAE,16.1994
2025-09-19 14:29:40,Model 5,encrypted-fhe,MAPE,62456691875929800.0000
2025-09-19 14:29:40,Model 5,encrypted-fhe,R2,-2982.2828
2025-09-19 14:29:40,Model 5,encrypted-fhe,EVS,0.0887
2025-09-19 14:29:40,Model 5,Validation,Time,8.0695
2025-09-19 14:29:40,Model 5,Test,Time,0.0004
2025-09-19 14:29:40,Model 5,encrypted-fhe,Time,4.0257
2025-09-19 14:29:40,Model 5,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:29:40,Model 5,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:29:40,Model 5,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:29:40,Model 5,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:29:40,Model 5,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:31:04,Model 6,Validation,MSE,0.0391
2025-09-19 14:31:04,Model 6,Validation,MAE,0.1266
2025-09-19 14:31:04,Model 6,Validation,MAPE,288941978681344.0000
2025-09-19 14:31:04,Model 6,Validation,R2,-0.6036
2025-09-19 14:31:04,Model 6,Validation,EVS,0.0333
2025-09-19 14:31:04,Model 6,Test,MSE,0.0453
2025-09-19 14:31:04,Model 6,Test,MAE,0.1485
2025-09-19 14:31:04,Model 6,Test,MAPE,1.6181
2025-09-19 14:31:04,Model 6,Test,R2,-131.3929
2025-09-19 14:31:04,Model 6,Test,EVS,-7.8887
2025-09-19 14:31:04,Model 6,encrypted-fhe,MSE,78.3493
2025-09-19 14:31:04,Model 6,encrypted-fhe,MAE,8.8496
2025-09-19 14:31:04,Model 6,encrypted-fhe,MAPE,34514923768237756.0000
2025-09-19 14:31:04,Model 6,encrypted-fhe,R2,-786.8787
2025-09-19 14:31:04,Model 6,encrypted-fhe,EVS,-0.0039
2025-09-19 14:31:04,Model 6,Validation,Time,7.1833
2025-09-19 14:31:04,Model 6,Test,Time,0.0004
2025-09-19 14:31:04,Model 6,encrypted-fhe,Time,4.0130
2025-09-19 14:31:04,Model 6,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:31:04,Model 6,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:31:04,Model 6,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:31:04,Model 6,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:31:04,Model 6,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:33:01,Model 7,Validation,MSE,0.0367
2025-09-19 14:33:01,Model 7,Validation,MAE,0.1289
2025-09-19 14:33:01,Model 7,Validation,MAPE,318670668562432.0000
2025-09-19 14:33:01,Model 7,Validation,R2,-0.5101
2025-09-19 14:33:01,Model 7,Validation,EVS,0.0413
2025-09-19 14:33:01,Model 7,Test,MSE,0.0400
2025-09-19 14:33:01,Model 7,Test,MAE,0.1409
2025-09-19 14:33:01,Model 7,Test,MAPE,1.3419
2025-09-19 14:33:01,Model 7,Test,R2,-425.0854
2025-09-19 14:33:01,Model 7,Test,EVS,-14.4948
2025-09-19 14:33:01,Model 7,encrypted-fhe,MSE,260.5483
2025-09-19 14:33:01,Model 7,encrypted-fhe,MAE,16.1403
2025-09-19 14:33:01,Model 7,encrypted-fhe,MAPE,62230421372164080.0000
2025-09-19 14:33:01,Model 7,encrypted-fhe,R2,-2960.5219
2025-09-19 14:33:01,Model 7,encrypted-fhe,EVS,0.0801
2025-09-19 14:33:01,Model 7,Validation,Time,7.0296
2025-09-19 14:33:01,Model 7,Test,Time,0.0005
2025-09-19 14:33:01,Model 7,encrypted-fhe,Time,4.0168
2025-09-19 14:33:01,Model 7,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:33:01,Model 7,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:33:01,Model 7,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:33:01,Model 7,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:33:01,Model 7,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:36:02,Model 8,Validation,MSE,0.0378
2025-09-19 14:36:02,Model 8,Validation,MAE,0.1244
2025-09-19 14:36:02,Model 8,Validation,MAPE,284341598945280.0000
2025-09-19 14:36:02,Model 8,Validation,R2,-0.5703
2025-09-19 14:36:02,Model 8,Validation,EVS,0.0420
2025-09-19 14:36:02,Model 8,Test,MSE,0.0428
2025-09-19 14:36:02,Model 8,Test,MAE,0.1445
2025-09-19 14:36:02,Model 8,Test,MAPE,1.5316
2025-09-19 14:36:02,Model 8,Test,R2,-161.0001
2025-09-19 14:36:02,Model 8,Test,EVS,-7.1937
2025-09-19 14:36:02,Model 8,encrypted-fhe,MSE,8.3546
2025-09-19 14:36:02,Model 8,encrypted-fhe,MAE,2.8848
2025-09-19 14:36:02,Model 8,encrypted-fhe,MAPE,10910955356489780.0000
2025-09-19 14:36:02,Model 8,encrypted-fhe,R2,-114.3027
2025-09-19 14:36:02,Model 8,encrypted-fhe,EVS,0.0527
2025-09-19 14:36:02,Model 8,Validation,Time,6.9808
2025-09-19 14:36:02,Model 8,Test,Time,0.0005
2025-09-19 14:36:02,Model 8,encrypted-fhe,Time,4.0097
2025-09-19 14:36:02,Model 8,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:36:02,Model 8,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:36:02,Model 8,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:36:02,Model 8,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:36:02,Model 8,encrypted-fhe,AppEncryptionKeySize,1310720.0000
2025-09-19 14:38:07,Model 9,Validation,MSE,0.0368
2025-09-19 14:38:07,Model 9,Validation,MAE,0.1302
2025-09-19 14:38:07,Model 9,Validation,MAPE,325569459781632.0000
2025-09-19 14:38:07,Model 9,Validation,R2,-0.5053
2025-09-19 14:38:07,Model 9,Validation,EVS,0.0417
2025-09-19 14:38:07,Model 9,Test,MSE,0.0407
2025-09-19 14:38:07,Model 9,Test,MAE,0.1446
2025-09-19 14:38:07,Model 9,Test,MAPE,1.3377
2025-09-19 14:38:07,Model 9,Test,R2,-313.5046
2025-09-19 14:38:07,Model 9,Test,EVS,-10.3668
2025-09-19 14:38:07,Model 9,encrypted-fhe,MSE,261.8694
2025-09-19 14:38:07,Model 9,encrypted-fhe,MAE,16.1812
2025-09-19 14:38:07,Model 9,encrypted-fhe,MAPE,62387480191851896.0000
2025-09-19 14:38:07,Model 9,encrypted-fhe,R2,-2975.2645
2025-09-19 14:38:07,Model 9,encrypted-fhe,EVS,0.0831
2025-09-19 14:38:07,Model 9,Validation,Time,6.8191
2025-09-19 14:38:07,Model 9,Test,Time,0.0004
2025-09-19 14:38:07,Model 9,encrypted-fhe,Time,4.0287
2025-09-19 14:38:07,Model 9,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 14:38:07,Model 9,encrypted-fhe,PolyModulusDegree,32768.0000
2025-09-19 14:38:07,Model 9,encrypted-fhe,CoeffModBitSizes,"[60, 40, 40, 40, 40, 40, 40, 60]"
2025-09-19 14:38:07,Model 9,encrypted-fhe,GlobalScale(2^40),1099511627776.0000
2025-09-19 14:38:07,Model 9,encrypted-fhe,AppEncryptionKeySize,1310720.0000
