Timestamp,Model,Process,Metric,Score
2025-09-19 03:43:49,Model 4,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-19 03:43:49,Model 4,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-19 09:49:00,Model 5,Validation,acc,0.6978
2025-09-19 09:49:00,Model 5,Validation,ps,0.7052
2025-09-19 09:49:00,Model 5,Validation,recall,0.6879
2025-09-19 09:49:00,Model 5,Validation,f1,0.6825
2025-09-19 09:49:00,Model 5,Test,acc,0.6755
2025-09-19 09:49:00,Model 5,Test,ps,0.6847
2025-09-19 09:49:00,Model 5,Test,recall,0.6699
2025-09-19 09:49:00,Model 5,Test,f1,0.6590
2025-09-19 09:49:00,Model 5,encrypted-fhe,acc,0.5833
2025-09-19 09:49:00,Model 5,encrypted-fhe,ps,0.5500
2025-09-19 09:49:00,Model 5,encrypted-fhe,recall,0.5667
2025-09-19 09:49:00,Model 5,encrypted-fhe,f1,0.5247
2025-09-19 09:49:00,Model 5,Validation,Time,23.6168
2025-09-19 09:49:00,Model 5,Test,Time,0.0314
2025-09-19 09:49:00,Model 5,encrypted-fhe,Time,37.6915
2025-09-19 09:49:00,Model 5,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 09:49:00,Model 5,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-19 09:49:00,Model 5,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-19 09:49:00,Model 5,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-19 09:49:00,Model 5,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-19 09:53:17,Model 6,Validation,acc,0.9664
2025-09-19 09:53:17,Model 6,Validation,ps,0.9664
2025-09-19 09:53:17,Model 6,Validation,recall,0.9658
2025-09-19 09:53:17,Model 6,Validation,f1,0.9659
2025-09-19 09:53:17,Model 6,Test,acc,0.9616
2025-09-19 09:53:17,Model 6,Test,ps,0.9621
2025-09-19 09:53:17,Model 6,Test,recall,0.9621
2025-09-19 09:53:17,Model 6,Test,f1,0.9619
2025-09-19 09:53:17,Model 6,encrypted-fhe,acc,0.9167
2025-09-19 09:53:17,Model 6,encrypted-fhe,ps,0.9300
2025-09-19 09:53:17,Model 6,encrypted-fhe,recall,0.9000
2025-09-19 09:53:17,Model 6,encrypted-fhe,f1,0.8889
2025-09-19 09:53:17,Model 6,Validation,Time,19.0219
2025-09-19 09:53:17,Model 6,Test,Time,0.0297
2025-09-19 09:53:17,Model 6,encrypted-fhe,Time,37.4845
2025-09-19 09:53:17,Model 6,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 09:53:17,Model 6,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-19 09:53:17,Model 6,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-19 09:53:17,Model 6,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-19 09:53:17,Model 6,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-19 09:55:20,Model 7,Validation,acc,0.9672
2025-09-19 09:55:20,Model 7,Validation,ps,0.9668
2025-09-19 09:55:20,Model 7,Validation,recall,0.9664
2025-09-19 09:55:20,Model 7,Validation,f1,0.9665
2025-09-19 09:55:20,Model 7,Test,acc,0.9630
2025-09-19 09:55:20,Model 7,Test,ps,0.9632
2025-09-19 09:55:20,Model 7,Test,recall,0.9630
2025-09-19 09:55:20,Model 7,Test,f1,0.9630
2025-09-19 09:55:20,Model 7,encrypted-fhe,acc,0.9583
2025-09-19 09:55:20,Model 7,encrypted-fhe,ps,0.9800
2025-09-19 09:55:20,Model 7,encrypted-fhe,recall,0.9500
2025-09-19 09:55:20,Model 7,encrypted-fhe,f1,0.9556
2025-09-19 09:55:20,Model 7,Validation,Time,20.6743
2025-09-19 09:55:20,Model 7,Test,Time,0.0298
2025-09-19 09:55:20,Model 7,encrypted-fhe,Time,38.2397
2025-09-19 09:55:20,Model 7,encrypted-fhe,EncryptionScheme,CKKS
2025-09-19 09:55:20,Model 7,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-19 09:55:20,Model 7,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-19 09:55:20,Model 7,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-19 09:55:20,Model 7,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-19 09:58:29,Model 8,Validation,acc,0.9664
2025-09-19 09:58:29,Model 8,Validation,ps,0.9660
2025-09-19 09:58:29,Model 8,Validation,recall,0.9658
2025-09-19 09:58:29,Model 8,Validation,f1,0.9657
2025-09-19 09:58:29,Model 8,Test,acc,0.9644
2025-09-19 09:58:29,Model 8,Test,ps,0.9653
2025-09-19 09:58:29,Model 8,Test,recall,0.9645
2025-09-19 09:58:29,Model 8,Test,f1,0.9646
2025-09-19 09:58:29,Model 8,encrypted-fhe,acc,1.0000
2025-09-19 09:58:29,Model 8,encrypted-fhe,ps,1.0000
2025-09-19 09:58:29,Model 8,encrypted-fhe,recall,1.0000
2025-09-19 09:58:29,Model 8,encrypted-fhe,f1,1.0000
